"huc8","population","area_m2","nColleges","nLentic","nLotic","nhdFeatures","padus_area_m2","area_km2","padus_area_km2","popDens","eduDens","parkDens","nSites","siteDens","med_age","med_income","bachDeg25p","vacRecHs","openWater","developed","forest","plantCult","wetland"
"17100104",65124,2118549690.22874,0,20,553,573,391265026.871029,2118.54969022874,391.265026871029,30.7398973459851,0,0.184685319714537,1,0.000472021026748742,44.9,47632,0.110594122423897,0.625659323611542,0.00648854961832061,0.0190839694656489,0.564885496183206,0.0530534351145038,0.0328244274809161
"17100105",53756,1520729578.89262,1,18,489,507,402020044.075222,1520.72957889262,402.020044075222,35.348822529739,0.000657579108001693,0.264359981981786,2,0.00131515821600339,40.7,38269,0.0964023003878561,0.594220169819753,0.15758547008547,0.0208333333333333,0.544337606837607,0.00641025641025641,0.0635683760683761
"17100106",57270,3282289582.91656,0,19,918,937,382488037.042993,3282.28958291656,382.488037042993,17.448186259395,0,0.116530862795818,6,0.00182799227442588,47.9,40425.5,0.107449958545541,0.734760802469136,0.214549938347719,0.00863131935881628,0.444143033292231,0.012577065351418,0.0680641183723798
"17100201",23951,820016097.082846,0,8,86,94,510200786.379718,820.016097082846,510.200786379718,29.2079632158492,0,0.622183867115199,19,0.0231702768611388,47.4,41705,0.146826319460591,0.844660194174757,0.557296767874633,0.0176297747306562,0.215475024485798,0,0.0342801175318315
"17100202",47272,2213878724.90281,0,7,561,568,938413631.380164,2213.87872490281,938.413631380164,21.3525697989962,0,0.423877613901981,114,0.0514933355281259,44.35,50683.5,0.140102251322989,0.809033280507132,0.00328347318496899,0.00218898212331266,0.710689529368843,0.0171470266326158,0.0102152499087924
"17100203",58688,2949025964.93101,1,13,712,725,2036379142.44207,2949.02596493101,2036.37914244207,19.9008081644249,0.000339095013706803,0.690526013218642,107,0.036283166466628,43.5,44450,0.121781115879828,0.852313386798273,0.169556840077071,0.00302780071566199,0.677676851087255,0.026149187998899,0.0275254610514726
"17100204",54944,2270868889.44188,2,10,733,743,741758650.010131,2270.86888944188,741.758650010131,24.1951440946042,0.000880720154870565,0.326640896556752,92,0.040513127124046,47.05,46968,0.157074729719608,0.779879229805173,0.149786019971469,0.0106990014265335,0.593081312410842,0.0124821683309558,0.0210413694721826
"17100205",36054,2174496093.74076,0,6,452,458,1565578061.05908,2174.49609374076,1565.57806105908,16.5803930868309,0,0.719972809132912,148,0.0680617456274191,49.5,44295,0.143625305940814,0.779578246392897,0.185751585229392,0.00223797090637821,0.743752331219694,0.0123088399850802,0.010443864229765
"17100206",50255,2007625242.93634,0,9,561,570,1168533523.53022,2007.62524293634,1168.53352353022,25.0320622221791,0,0.582047634458476,43,0.0214183399771904,49,40758.5,0.117875920084122,0.54700334651658,0.00565199838514332,0.00645942672587808,0.838918046023416,0.01695599515543,0.011707710940654
"17100207",6987,570684271.135111,0,8,70,78,370641467.949454,570.684271135111,370.641467949454,12.2431970765597,0,0.649468518226786,34,0.0595776013457893,49.5,30962,0.120082427875609,0.667076167076167,0.448373408769448,0,0.357850070721358,0,0.048090523338048
"17100301",61433,3558436978.021,1,38,1000,1038,2751374801.48153,3558.436978021,2751.37480148153,17.2640404704218,0.000281022259541644,0.773197563558281,48,0.0134890684579989,48,38737,0.104180806298358,0.354878048780488,0.00432703256661353,0.00227738556137554,0.870644500113869,0.0441812798906855,0
"17100302",108964,4664949115.34504,1,21,1304,1325,2407598349.45455,4664.94911534504,2407.59834945455,23.3580254158765,0.000214364610475721,0.516103882362814,171,0.0366563483913483,46.9,38712,0.105027561421683,0.221554219550212,0.000693842150910668,0.0102341717259324,0.781786643538595,0.0901994796183868,0.000173460537727667
"17100303",64710,3917151119.34649,0,12,1060,1072,1394788267.05911,3917.15111934649,1394.78826705911,16.5196588103029,0,0.356072110715965,79,0.0201677182199649,48.7,41101,0.109384091097997,0.316207951070336,0.0084868557234527,0.00269095425377768,0.739805423307803,0.0993583109087146,0.00827985924239288
"17100304",75320,2298942676.1215,1,51,606,657,881782775.73757,2298.9426761215,881.78277573757,32.7628873839825,0.000434982572809114,0.38356014044909,65,0.0282738672325924,47.3,37368.5,0.120259651520328,0.283670448939319,0.194581280788177,0.0154820548909219,0.618226600985221,0,0.0387051372273048
"17100305",41373,2738310080.42932,0,14,902,916,900517664.522342,2738.31008042932,900.517664522342,15.108953619129,0,0.328858908623364,46,0.016798681905589,50.3,36518,0.112842676425124,0.297071129707113,0.000592417061611374,0.00444312796208531,0.731338862559242,0.0311018957345972,0.0337677725118483
"17100306",20254,1948729114.13277,0,31,329,360,1089405802.65049,1948.72911413277,1089.40580265049,10.3934404495278,0,0.559033985149496,297,0.152407021502407,52.6,35673.5,0.126844604131913,0.410190427174472,0.377444860590928,0.0029130253849355,0.459009571369122,0.0133166874739908,0.034956304619226
"17100307",54284,4183122624.05679,0,61,1105,1166,2720474051.48478,4183.12262405679,2720.47405148478,12.976908610763,0,0.650345279346955,98,0.0234274748333721,46.6,44988,0.118698596372882,0.547773886943472,0.00348364621637314,0.00193535900909619,0.773175924133927,0.0381265724791949,0.00116121540545771
"17100308",263305,2285247234.8552,5,33,724,757,643965482.540247,2285.2472348552,643.965482540247,115.219480843911,0.00218794707362016,0.281792478607266,123,0.053823498011056,44.25,42964.5,0.141460330610043,0.22570459595369,0.00177179305457123,0.0676824946846208,0.510630758327427,0.146704464918498,0.00106307583274274
"17100309",45026,1994296570.33773,0,7,713,720,1395526414.07117,1994.29657033773,1395.52641407117,22.5773842615469,0,0.699758719353782,65,0.0325929457868909,51,44821,0.130164683818789,0.372082782915015,0.00202922077922078,0.000811688311688312,0.810470779220779,0.044237012987013,0.00121753246753247
"17100310",62052,2349670754.40772,0,6,600,606,1642197470.73189,2349.67075440772,1642.19747073189,26.4088063757858,0,0.698905354144325,121,0.0514965766046232,49.5,42774,0.105654378276188,0.313905606588533,0.00137551581843191,0.00137551581843191,0.918844566712517,0.00722145804676754,0.00343878954607978
"17100311",36613,2564120334.83405,0,13,699,712,2129862726.18854,2564.12033483405,2129.86272618854,14.2789710383735,0,0.830640706387278,58,0.0226198432312475,49.9,37752,0.112886048988285,0.440137221269297,0,0.00221378874130297,0.58349146110057,0.0208728652751423,0.00284629981024668
"17100312",32926,2007013424.40756,0,6,419,425,1433637812.02606,2007.01342440756,1433.63781202606,16.4054707355628,0,0.714314012348596,173,0.0861977293704784,49.3,38791,0.103939947573278,0.395090786819099,0.181451612903226,0.00766129032258065,0.610483870967742,0.0032258064516129,0.00120967741935484
"17110001",16149,1621889531.72342,0,11,172,183,446522855.398152,1621.88953172342,446.522855398152,9.95690500748227,0,0.275310276479605,0,0,35.85,48774.5,0.135156403698603,0.676579925650558,0,0.00149925037481259,0.255872063968016,0.0634682658670664,0
